"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-21-5p",18975.6835902063,-18.3476165684094,0.839806838843984,-21.847424574043,8.22419966119854e-106,4.77826000315635e-103
"hsa-miR-30d-5p",2998.23385725147,-15.4478504461228,0.719225815027331,-21.4784426856756,2.47671283834248e-102,7.19485079538489e-100
"hsa-miR-7-5p",14200.3773041263,-18.2023533245494,0.889670962643028,-20.4596464185748,4.92944891974839e-93,9.54669940791272e-91
"hsa-miR-10a-5p",2962.74971644818,-14.4222219850797,0.712446949174627,-20.243222322431,4.07626651711926e-91,5.92077711611572e-89
"hsa-miR-192-5p",727.272677430374,-13.0153379931777,0.669689452156373,-19.4348857537906,3.91284386066993e-84,4.54672456609845e-82
"hsa-miR-10b-5p",4917.06959263031,-14.8127248903902,0.772350942318666,-19.1787490359254,5.5704491214548e-82,5.39405156594207e-80
"hsa-miR-486-5p",7134.54653995561,-14.2194181722117,0.757463088841754,-18.7724238734257,1.26958500929331e-78,1.05375555771344e-76
"hsa-let-7f-5p",4055.57177546957,-15.1386185007729,0.853907250877764,-17.7286449848169,2.52035624829499e-70,1.83040872532424e-68
"hsa-miR-423-5p",5892.0449827509,-13.856838392784,0.790869432921968,-17.5210190405111,9.9035506223908e-69,6.39329212401007e-67
"hsa-miR-30a-5p",528.875411255317,-12.6574327096103,0.729563034628727,-17.349333928427,1.99544437214626e-67,1.15935318021697e-65
"hsa-let-7i-5p",7215.99065708288,-14.2923027707087,0.833844350703071,-17.1402525647117,7.43271218231999e-66,3.92582343447992e-64
"hsa-miR-99a-5p",1663.35725893672,-12.7008454647333,0.751705421227227,-16.8960407974682,4.81148227434207e-64,2.32955933449395e-62
"hsa-miR-146b-5p",5132.56731505786,-16.5314571159351,0.982451778447959,-16.8267364145352,1.55436961371922e-63,6.94683650439127e-62
"hsa-miR-100-5p",5010.13258352675,-13.4249472921022,0.809215328900469,-16.5900803069852,8.22103639316633e-62,3.41173010316403e-60
"hsa-mir-423",2126.32570278404,14.2912742153662,0.878629383516541,16.2654180288942,1.73677736757743e-59,6.72711767041657e-58
