"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-486-5p",7134.54653995561,-17.1062796879915,0.757395556142771,-22.5856615466686,5.99547074116023e-113,3.4833685006141e-110
"hsa-miR-10a-5p",2962.74971644818,-15.4448904347321,0.712402306994844,-21.6800118178784,3.16798274968774e-104,9.20298988784289e-102
"hsa-miR-423-5p",5892.0449827509,-16.8407841446441,0.790785729940338,-21.2962671265131,1.22936341033139e-100,2.38086713800846e-98
"hsa-miR-10b-5p",4917.06959263031,-16.3160901090112,0.772314546135966,-21.1262240115037,4.56637240016895e-99,6.6326559112454e-97
"hsa-miR-100-5p",5010.13258352675,-16.6297100680521,0.809103499050887,-20.5532544199345,7.19726502797369e-94,8.36322196250543e-92
"hsa-let-7i-5p",7215.99065708288,-17.1133220800984,0.833786215158193,-20.5248321080141,1.29208918612232e-93,1.25117302856178e-91
"hsa-let-7b-5p",6964.27500741629,-17.2093897587594,0.846944600141354,-20.3193806960776,8.66627094272005e-92,7.19300488245764e-90
"hsa-miR-30d-5p",2998.23385725147,-14.4675959157624,0.719239775531656,-20.1151221163598,5.4404940992731e-90,3.95115883959709e-88
"hsa-miR-99a-5p",1663.35725893672,-14.9051527812792,0.751523660325548,-19.8332448705907,1.53791079378308e-87,9.9280685687552e-86
"hsa-miR-21-5p",18975.6835902063,-16.4894133483071,0.839812676040266,-19.6346326017071,7.82446738797276e-86,4.54601555241217e-84
"hsa-miR-451a",9084.28639779551,-17.6347459126379,0.907751725979537,-19.4268382068992,4.57701578480899e-84,2.41749651906729e-82
"hsa-miR-192-5p",727.272677430374,-12.9787792116095,0.669638537574221,-19.3817686458509,1.1000064437289e-83,5.32586453172075e-82
"hsa-let-7f-5p",4055.57177546957,-15.7437552847329,0.853888475423863,-18.4377184349722,6.54450915674637e-76,2.92489216928434e-74
"hsa-miR-26a-5p",2290.31406750201,-15.4226057281377,0.837455892402458,-18.4160215099734,9.77280416757249e-76,4.05571372954259e-74
"hsa-miR-122-5p",14497.0462966538,-18.2950886995907,1.00450928207391,-18.2129613195994,4.07308109666093e-74,1.57764007810667e-72
"hsa-mir-423",2126.32570278404,15.2446223393204,0.848287727732304,17.9710513790801,3.28430985771737e-72,1.19261501708362e-70
"hsa-let-7a-5p",2346.60092751874,-15.1920200785924,0.861834551379008,-17.6275365779707,1.51422259015883e-69,5.17507838166048e-68
"hsa-let-7g-5p",1587.54745208839,-14.8577631635335,0.854742611964951,-17.3827336505164,1.11509024088466e-67,3.59926349974437e-66
"hsa-miR-146a-5p",481.070018133241,-12.8819974813024,0.741511127075146,-17.3726286915137,1.32991335398427e-67,4.06673504560454e-66
"hsa-miR-30a-5p",528.875411255317,-12.402468224369,0.729530702837371,-17.0006117304344,8.1267430221854e-65,2.36081884794486e-63
"hsa-miR-99b-5p",283.552513752923,-12.4807497850276,0.747108767967013,-16.7053986248742,1.19725218843313e-62,3.31239772133167e-61
"hsa-mir-10a",1274.58571374147,14.4950467124112,0.873072345422821,16.6023431945853,6.70226264341003e-62,1.77000663446419e-60
"hsa-mir-26a-1",882.203591251811,13.9744063813936,0.850522388881915,16.4303803921778,1.15929450236967e-60,2.80645877448658e-59
"hsa-mir-26a-2",882.695861473327,13.9751933131406,0.850560820670838,16.4305631925514,1.15580502363427e-60,2.80645877448658e-59
"hsa-mir-10b",4228.84316019844,16.1781962082255,0.993662205913022,16.2813842691744,1.33807554861136e-59,3.10968757497279e-58
"hsa-miR-125a-5p",456.761617330602,-12.706664840195,0.782200192026838,-16.2447733581725,2.43238683883151e-59,5.43544905138887e-58
"hsa-mir-99a",785.275321643118,13.8010302775487,0.862597841078857,15.9993795721627,1.29054749191718e-57,2.77706701038474e-56
"hsa-let-7a-2",1252.45701632095,14.4520600618598,0.915007671063412,15.7944687447962,3.39642502539969e-56,7.04758192770436e-55
"hsa-let-7a-3",1253.65060001494,14.453082061135,0.915878970112366,15.7805589305777,4.23421915457456e-56,8.48303906485455e-55
"hsa-let-7a-1",1254.32766217355,14.4535991134735,0.916527814487153,15.7699514242904,5.00882905511341e-56,9.70043227006964e-55
"hsa-miR-7-5p",14200.3773041263,-14.0262629633538,0.889718723055438,-15.7648283664138,5.43196946669041e-56,1.01805621295069e-54
"hsa-let-7f-2",1834.17777575153,14.9880469607605,0.951931930772314,15.7448725862158,7.44809831301172e-56,1.35229534995619e-54
"hsa-mir-21",1445.63002240269,14.6513020116221,0.934350963384608,15.680726606787,2.04896862115144e-55,3.60742657239087e-54
"hsa-let-7c-5p",219.905848759033,-12.1587734310608,0.783321019209259,-15.5220824322252,2.45938220745327e-54,4.2026501839128e-53
"hsa-let-7f-1",1357.69961512057,14.5575264441145,0.942832523370002,15.4402039421391,8.78221364244215e-54,1.4578474646454e-52
"hsa-let-7b",1688.44306310162,14.8645299770253,0.962966684893612,15.4361830063389,9.34706879846607e-54,1.50851304775244e-52
"hsa-let-7i",6009.75503786329,16.6519473063236,1.10191678326793,15.1118011443109,1.35387860498556e-51,2.12595532296381e-50
"hsa-mir-99b",174.757613609748,11.6733710850073,0.781506607554243,14.9370088137061,1.89282862279646e-50,2.8940353416967e-49
"hsa-miR-181a-5p",559.074839694258,-12.0581890439683,0.82190005828361,-14.6711135039334,9.87117417686879e-49,1.47055184532327e-47
"hsa-miR-199a-5p",823.244535887183,-12.5565335625994,0.85840732615442,-14.6277101557968,1.86974686711839e-48,2.71580732448946e-47
"hsa-miR-146b-5p",5132.56731505786,-14.3041457487076,0.982478530309324,-14.559245120811,5.10180524013331e-48,7.22963132809134e-47
"hsa-mir-100",1363.32962213469,14.5382796202761,1.01382664410111,14.3400054682584,1.23045753055289e-46,1.70213291726483e-45
"hsa-miR-182-5p",344.451539808795,-11.5266934683642,0.822093922203879,-14.0211393820591,1.15741405959864e-44,1.56385481076002e-43
"hsa-mir-451a",1157.7921385221,14.3003510308374,1.02061821619926,14.011459724961,1.32650143067888e-44,1.75158484369189e-43
"hsa-miR-191-5p",485.511696475074,-11.9639115638687,0.867674217187438,-13.7884834271665,2.9897924965802e-43,3.86015431225133e-42
"hsa-miR-186-5p",144.328355570586,-11.493362311284,0.843618038931277,-13.6238934931313,2.88753602716874e-42,3.64708354735878e-41
"hsa-miR-125b-5p",150.292527533169,-10.9841276676175,0.807846680319833,-13.5967974310037,4.183550241771e-42,5.17158019248714e-41
"hsa-miR-1246",483.699259560872,-13.1753472488046,0.97420756224782,-13.5241685235995,1.12609669627881e-41,1.36304620945415e-40
"hsa-miR-183-5p",148.397994566968,-11.5390788302992,0.863391190210403,-13.3648327214077,9.70529440550981e-41,1.15077062236759e-39
"hsa-miR-532-5p",142.001660120865,-11.4461294824153,0.85875752545063,-13.3287093774334,1.57600539866513e-40,1.83131827324889e-39
"hsa-miR-142-5p",232.547793691481,-12.2636282380964,0.929067392416825,-13.1999339748588,8.78119856198191e-40,1.0003679146101e-38
"hsa-mir-486-2",566.791559138437,13.2746445893909,1.00616513569982,13.1933060671576,9.58860603400383e-40,1.07134232803004e-38
"hsa-mir-30d",773.263741623847,13.711336530314,1.04167340383401,13.1627979363279,1.43665473553267e-39,1.57489887046129e-38
"hsa-mir-486-1",545.04851545938,13.218568162478,1.00510676214048,13.1514070548364,1.67036863216186e-39,1.79719291719637e-38
